"year","paf_mean","paf_lower","paf_upper","asir_attributable","aspr_attributable","asdr_attributable","asir_change_percent","aspr_change_percent","asdr_change_percent"
1990,3.01284973694874,0,28.463276197953,2.24997324235,12.5767483268038,0.394025816999079,NA,NA,NA
2021,6.12645194044108,0,27.88507137217,6.68242093305904,40.0556938653325,1.23863544830226,197.000017923749,218.490064557984,214.353881107529
